SC,SN,EC,SM,SG,TK,LS,CD,NS,TS
03D001,11.10% GOI LOAN 07/04/2003,BSE,03D001,EQUITY,800078,1,03D001,CG1110S9803,115.1
03E001,GOI LOAN 5.75% 2003,BSE,03E001,EQUITY,800004,1,03E001,CG0575S7303,110.2
03E002,GOI LOAN 11% 2003,BSE,03E002,EQUITY,800032,1,03E002,CG1100S8803,112.25
04C001,12.50% GOI LOAN 23/03/2004,BSE,04C001,EQUITY,800049,1,04C001,CG1250S9404,114.4
04E001,11.50% GOI LOAN 09/05/2004,BSE,04E001,EQUITY,800081,1,04E001,CG1150S9804,118.6
04E002,GOI LOAN 12.35% 2004,BSE,04E002,EQUITY,800051,1,04E002,CG1235S9404,110.0
04F001,GOI LOAN 6.50% 2004,BSE,04F001,EQUITY,800007,1,04F001,CG0650S7704,113.65
04F002,GOI LOAN 12.59% 2004,BSE,04F002,EQUITY,800070,1,04F002,CG1259S9704,0.02
04I001,11.98% GOI LOAN 08/09/2004,BSE,04I001,EQUITY,800093,1,04I001,CG1198S9804,141.9
04J001,GOI LOAN 11.30% 2004,BSE,04J001,EQUITY,800029,1,04J001,CG1130S8604,121.05
05D001,9.90% GOI LOAN 22/04/2005,BSE,05D001,EQUITY,800103,1,05D001,CG0990S0005,120.55
05E001,GOI LOAN 13.75% 2005,BSE,05E001,EQUITY,800055,1,05E001,CG1375S9505,0.02
05F001,14.00% GOI LOAN 08/06/2005,BSE,05F001,EQUITY,800057,1,05F001,CG1400S9505,134.2
05F002,GOI LOAN 11.25% 2005,BSE,05F002,EQUITY,800036,1,05F002,CG1125S9005,124.45
05H001,11.19% GOI LOAN 12/08/2005,BSE,05H001,EQUITY,800073,1,05H001,CG1119S9705,125.4
05I001,GOI LOAN 14% 2005,BSE,05I001,EQUITY,800058,1,05I001,CG1400A9505,110.0
05J001,GOI LOAN 6.50% 2005,BSE,05J001,EQUITY,800008,1,05J001,CG0650S7705,111.9
05J002,GOI LOAN 8.25% 2005,BSE,05J002,EQUITY,800018,1,05J002,CG0825S8205,117.9
06C001,GOI LOAN 14% 2006,BSE,06C001,EQUITY,800060,1,06C001,CG1400S9606,110.0
06D001,GOI LOAN 11.68% 2006,BSE,06D001,EQUITY,800100,1,06D001,CG1168S9906,110.0
06E001,GOI LOAN 6.75% 2006,BSE,06E001,EQUITY,800009,1,06E001,CG0675S7806,112.6
06E002,GOI LOAN 11.50% 2006,BSE,06E002,EQUITY,800028,1,06E002,CG1150S8606,132.3
06F001,13.85% GOI LOAN 24/06/2006,BSE,06F001,EQUITY,800063,1,06F001,CG1385S9606,138.7
06G001,11.00% GOI LOAN 28/07/2006,BSE,06G001,EQUITY,800109,1,06G001,CG1100S0006,129.4
06H001,13.85% GOI LOAN 26/08/2006,BSE,06H001,EQUITY,800064,1,06H001,CG1385A9606,138.9
07B001,13.65% GOI LOAN 21/02/2007,BSE,07B001,EQUITY,800067,1,07B001,CG1365S9707,141.35
07C001,12.50% GOI LOAN 25/03/2007,BSE,07C001,EQUITY,800044,1,07C001,CG1250S9207,138.45
07D001,GOI LOAN 13.05% 2007,BSE,07D001,EQUITY,800068,1,07D001,CG1305S9707,110.0
07E001,11.90% GOI LOAN 28/05/2007,BSE,07E001,EQUITY,800082,1,07E001,CG1190S9807,135.75
07J001,GOI LOAN 11.50% 2007,BSE,07J001,EQUITY,800031,1,07J001,CG1150S8707,136.85
07K001,GOI LOAN 6.75% 2007,BSE,07K001,EQUITY,800011,1,07K001,CG0675S7807,113.3
08B001,GOI LOAN 9.50% 2008,BSE,08B001,EQUITY,800021,1,08B001,CG0950S8408,128.95
08E001,12.00% GOI LOAN 02/05/2008,BSE,08E001,EQUITY,800080,1,08E001,CG1200S9808,142.0
08F001,12.10% GOI LOAN 19/06/2008,BSE,08F001,EQUITY,800084,1,08F001,CG1210S9808,144.2
08G001,12.22% GOI LOAN 24/07/2008,BSE,08G001,EQUITY,800089,1,08G001,CG1222S9808,144.25
08H001,11.40% GOI LOAN 31/08/2008,BSE,08H001,EQUITY,800112,1,08H001,CG1140S0008,140.4
08I001,12.25% GOI LOAN 08/09/2008,BSE,08I001,EQUITY,800094,1,08I001,CG1225S9808,144.3
09D001,11.99% GOI LOAN 07/04/2009,BSE,09D001,EQUITY,800099,1,09D001,CG1199S9909,146.2
09D002,6.65% GOI LOAN 05/04/2009,BSE,09D002,EQUITY,800130,1,09D002,CG0665S0209,117.7
09E001,GOI LOAN 7% 2009,BSE,09E001,EQUITY,800012,1,09E001,CG0700S7909,118.85
09E002,GOI LOAN 11.50% 2009,BSE,09E002,EQUITY,800035,1,09E002,CG1150S8909,143.85
10A001,12.29% GOI LOAN 29/01/2010,BSE,10A001,EQUITY,800097,1,10A001,CG1229S9910,151.6
10E001,7.55% GOI LOAN 14/05/2010,BSE,10E001,EQUITY,800133,1,10E001,CG0755S0210,124.05
10E002,GOI LOAN 7.50% 2010,BSE,10E002,EQUITY,800013,1,10E002,CG0750S8010,119.7
10F001,GOI LOAN 11.50% 2010,BSE,10F001,EQUITY,800037,1,10F001,CG1150S9010,144.1
10G001,12.25% GOI LOAN 02/07/2010,BSE,10G001,EQUITY,800087,1,10G001,CG1225S9810,153.15
10G002,11.30% GOI LOAN 28/07/2010,BSE,10G002,EQUITY,800110,1,10G002,CG1130S0010,147.1
11A001,12.32% GOI LOAN 29/01/2011,BSE,11A001,EQUITY,800098,1,11A001,CG1232S9911,156.0
11D001,GOI LOAN 8% 2011,BSE,11D001,EQUITY,800014,1,11D001,CG0800S8111,126.4
11G001,9.39% GOI LOAN 02/07/2011,BSE,11G001,EQUITY,800120,1,11G001,CG0939S0111,142.65
11H001,11.50% GOI LOAN 05/08/2011,BSE,11H001,EQUITY,800040,1,11H001,CG1150S9111,152.0
11J001,12.00% GOI LOAN 21/10/2011,BSE,11J001,EQUITY,800043,1,11J001,CG1200S9111,156.45
11K001,11.50% GOI LOAN 24/11/2011,BSE,11K001,EQUITY,800113,1,11K001,CG1150S0011,152.0
12D001,6.85% GOI LOAN 05/04/2012,BSE,12D001,EQUITY,800131,1,12D001,CG0685S0212,117.8
12E001,7.40% GOI LOAN 03/05/2012,BSE,12E001,EQUITY,800132,1,12E001,CG0740S0212,118.3
12F001,GOI LOAN 10.25% 2012,BSE,12F001,EQUITY,800023,1,12F001,CG1025S8412,144.75
12I001,9.40% GOI LOAN 11/09/2012,BSE,12I001,EQUITY,800140,1,12I001,CG0940S0112,138.45
13E001,9.81% GOI LOAN 30/05/2013,BSE,13E001,EQUITY,800118,1,13E001,CG0981S0113,137.9
13E002,GOI LOAN 9% 2013,BSE,13E002,EQUITY,800017,1,13E002,CG0900S8213,136.1
13H001,12.40% GOI LOAN 20/08/2013,BSE,13H001,EQUITY,800092,1,13H001,CG1240S9813,165.95
13I001,GOI LOAN 7.27% 2013,BSE,13I001,EQUITY,800146,1,13I001,CG0727S0213,110.0
14E001,GOI LOAN 10% 2014,BSE,14E001,EQUITY,800020,1,14E001,CG1000S8314,146.65
14J001,GOI LOAN 10.50% 2014,BSE,14J001,EQUITY,800024,1,14J001,CG1050S8414,148.65
14K001,11.83% GOI LOAN 12/11/2014,BSE,14K001,EQUITY,800102,1,14K001,CG1183S9914,164.55
15B001,10.47% GOI LOAN 12/02/2015,BSE,15B001,EQUITY,800115,1,15B001,CG1047S0115,152.35
15E001,10.79% GOI LOAN 19/05/2015,BSE,15E001,EQUITY,800105,1,15E001,CG1079S0015,155.9
15E002,GOI LOAN 11.50% 2015,BSE,15E002,EQUITY,800026,1,15E002,CG1150S8515,162.7
15H001,11.43% GOI LOAN 07/08/2015,BSE,15H001,EQUITY,800111,1,15H001,CG1143S0015,162.55
15J001,9.85% GOI LOAN 16/10/2015,BSE,15J001,EQUITY,800124,1,15J001,CG0985S0115,156.3
16D001,GOI LOAN 10.71% 2016,BSE,16D001,EQUITY,800116,1,16D001,CG1071S0116,156.9
16G001,12.30% GOI LOAN 02/07/2016,BSE,16G001,EQUITY,800101,1,16G001,CG1230S9916,173.45
17A001,8.07% GOI LOAN 15/01/2017,BSE,17A001,EQUITY,800127,1,17A001,CG0807S0217,135.7
17D001,7.49% GOI LOAN 16/04/2017,BSE,17D001,EQUITY,800141,1,17D001,CG0749S0217,124.75
17H001,GOI LOAN 7.46% 2017,BSE,17H001,EQUITY,800144,1,17H001,CG0746S0217,110.0
18D001,10.45% GOI LOAN 30/04/2018,BSE,18D001,EQUITY,800117,1,18D001,CG1045S0118,158.5
18K001,12.60% GOI LOAN 23/11/2018,BSE,18K001,EQUITY,800095,1,18K001,CG1260S9818,182.35
19H001,10.03% GOI LOAN 09/08/2019,BSE,19H001,EQUITY,800121,1,19H001,CG1003S0119,154.4
20D001,10.70% GOI LOAN 22/04/2020,BSE,20D001,EQUITY,800104,1,20D001,CG1070S0020,163.05
20L001,11.60% GOI LOAN 27/12/2020,BSE,20L001,EQUITY,800114,1,20L001,CG1160S0020,174.7
20MICR,20 MICRONS LIMITED,BSE,20MICR,EQUITY,533022,1,20MICR,20MICRONS,99.28
20MICR,20 MICRONS LIMITED,NSE,20MICR,EQUITY,16925,1,20MICR,20MICRONS,0.01
21E001,10.25% GOI LOAN 30/05/2021,BSE,21E001,EQUITY,800119,1,21E001,CG1025S0121,146.05
22E001,8.35% GOI LOAN 14/05/2022,BSE,22E001,EQUITY,800134,1,22E001,CG0835S0222,140.8
26I001,10.18% GOI LOAN 11/09/2026,BSE,26I001,EQUITY,800123,1,26I001,CG1018S0126,164.05
32H001,7.95% GOI LOAN 28/08/2032,BSE,32H001,EQUITY,800145,1,32H001,CG0795S0232,140.1
3DPPRF,3D PLM SOFTWARE SOLUTIONS LTD,BSE,3DPPRF,EQUITY,700133,1,3DPPRF,3DPLM,80.78
3IINFO,3I INFOTECH LIMITED,BSE,3IINFO,EQUITY,532628,1,3IINFO,3IINFOTECH,40.74
3IINFO,3I INFOTECH LIMITED,NSE,3IINFO,EQUITY,6232,1,3IINFO,3IINFOLTD,0.01
3MIND,3M INDIA LIMITED,BSE,3MIND,EQUITY,523395,1,3MIND,3MINDIA,32697.9
3MIND,3M INDIA LIMITED,NSE,3MIND,EQUITY,474,1,3MIND,3MINDIA,0.01
426E23,4.26% G-SEC. 17 MAY 23,NSE,426E23,EQUITY,3529,1,426E23,426GS2023,0.01
448K23,4.48% G-SEC. 2 NOV 23,NSE,448K23,EQUITY,947,1,448K23,448GS2023,0.01
456K23,4.56% G-SEC. 29 NOV 23,NSE,456K23,EQUITY,6962,1,456K23,456GS2023,0.01
515K25,5.15% G-SEC. 9 NOV 25,NSE,515K25,EQUITY,1054,1,515K25,515GS2025,0.01
522F25,5.22% G-SEC. 15 JUN 25,NSE,522F25,EQUITY,18976,1,522F25,522GS2025,0.01
563D26,5.63% G-SEC. 12 APR 26,NSE,563D26,EQUITY,3202,1,563D26,563GS2026,0.01
574K26,5.74% G-SEC. 15 NOV 26,NSE,574K26,EQUITY,6695,1,574K26,574GS2026,0.01
577H30,5.77% G-SEC. 3 AUG 30,NSE,577H30,EQUITY,22292,1,577H30,577GS2030,0.01
579E30,5.79% G-SEC. 11 MAY 30,NSE,579E30,EQUITY,18857,1,579E30,579GS2030,0.01
585L30,5.85% G-SEC. 1 DEC 30,NSE,585L30,EQUITY,1341,1,585L30,585GS2030,0.01
5PACAP,FIVE PAISA CAPITAL LIMITED,BSE,5PACAP,EQUITY,540776,1,5PACAP,5PAISA,440.25
5PACAP,FIVE PAISA CAPITAL LIMITED,NSE,5PACAP,EQUITY,445,1,5PACAP,5PAISA,0.01
610G31,6.1% G-SEC. 12 JUL 31,NSE,610G31,EQUITY,5012,1,610G31,610GS2031,0.01
618K24,6.18% G-SEC. 4 NOV 24,NSE,618K24,EQUITY,14251,1,618K24,618GS2024,0.01
619E34,6.19% G-SEC. 16 SEP 34,NSE,619E34,EQUITY,18973,1,619E34,619GS2034,0.01
654A32,6.54% G-SEC. 17 JAN 32,BSE,654A32,EQUITY,800440,1,654A32,654GOI2032,108.07
654A32,6.54% G-SEC. 17 JAN 32,NSE,654A32,EQUITY,7843,1,654A32,654GS2032,0.01
664D35,6.64% G-SEC. 16 APR 35,NSE,664D35,EQUITY,3204,1,664D35,664GS2035,0.01
667I35,6.67% G-SEC. 15 DEC 35,NSE,667I35,EQUITY,5577,1,667I35,667GS2035,0.01
667K50,6.67% G-Sec. 02 Nov 50,NSE,667K50,EQUITY,956,1,667K50,667GS2050,0.01
669F24,6.69% G-SEC. 27 JUN 24,NSE,669F24,EQUITY,9962,1,669F24,669GS2024,0.01
680H60,6.80% G-Sec. 31 Aug 60,NSE,680H60,EQUITY,22438,1,680H60,68GS2060,0.01
684L22,6.84% G-SEC. 19 DEC 22,NSE,684L22,EQUITY,7161,1,684L22,684GS2022,0.01
699D26,GSEC 6.99 17AP26,NSE,699D26,EQUITY,15046,1,699D26,699GS2026,0.01
710D29,7.1% G-SEC. 18 APR 29,NSE,710D29,EQUITY,9047,1,710D29,710GS2029,0.01
716D50,7.16% G-SEC. 20 APR 50,NSE,716D50,EQUITY,18561,1,716D50,716GS2050,0.01
717A28,7.17% G-SEC. 8 JAN 28,NSE,717A28,EQUITY,7208,1,717A28,717GS2028,0.01
717D30,GSEC 7.17 17AP30,NSE,717D30,EQUITY,15050,1,717D30,717GS2030,0.01
719D60,7.19% G-SEC. 15 DEC 60,NSE,719D60,EQUITY,18474,1,719D60,719GS2060,0.01
726A29,7.26% G-SEC. 14 JAN 29,NSE,726A29,EQUITY,8027,1,726A29,726GS2029,0.01
726H32,7.26% G-Sec. 22 Aug 32,NSE,726H32,EQUITY,10722,1,726H32,726GS2032,0.01
727D26,7.27% G-SEC. 8 APR 26,NSE,727D26,EQUITY,9537,1,727D26,727GS2026,0.01
732A24,7.32% G-SEC. 28 JAN 24,NSE,732A24,EQUITY,8274,1,732A24,732GS2024,0.01
737D23,7.37% G-SEC. 16 APR 23,NSE,737D23,EQUITY,7214,1,737D23,737GS2023,0.01
738F27,7.38% G-SEC. 20 JUN 27,NSE,738F27,EQUITY,9913,1,738F27,738GS2027,0.01
740I35,7.4% G-SEC. 9 SEP 35,NSE,740I35,EQUITY,6874,1,740I35,74GS2035,0.01
754E36,7.54% G-SEC. 23 MAY 36,NSE,754E36,EQUITY,9585,1,754E36,754GS2036,0.01
759A26,7.59% G-SEC. 11 JAN 26,NSE,759A26,EQUITY,7139,1,759A26,759GS2026,0.01
762I39,7.62% G-SEC. 15 SEP 39,NSE,762I39,EQUITY,9538,1,762I39,762GS2039,0.01
763F59,7.63% G-SEC. 17 JUN 59,NSE,763F59,EQUITY,9907,1,763F59,763GS2059,0.01
769F43,7.69% G-SEC. 17 JUN 43,NSE,769F43,EQUITY,9888,1,769F43,769GS2043,0.01
772F49,7.72% G-SEC. 15 JUN 49,NSE,772F49,EQUITY,9604,1,772F49,772GS2049,0.01
772J55,7.72% G-SEC. 26 OCT 55,NSE,772J55,EQUITY,7136,1,772J55,772GS2055,0.01
795H32,7.95% G-SEC. 28 AUG 32,NSE,795H32,EQUITY,6835,1,795H32,795GS2032,0.01
7NRRE1,7NR RETAIL LTD RIGHTS ENT,BSE,7NRRE1,EQUITY,750729,1,7NRRE1,7NR-RE,0.15
7NRRET,7NR RETAIL LIMITED,BSE,7NRRET,EQUITY,540615,1,7NRRET,7NR,0.8
7SETEC,7SEAS ENTERTAINMENT LIMITED,BSE,7SETEC,EQUITY,540874,1,7SETEC,7SEASL,27.1
817L44,8.17% G-SEC. 1 DEC 44,NSE,817L44,EQUITY,7115,1,817L44,817GS2044,0.01
824B27,8.24% G-SEC. 15 FEB 27,NSE,824B27,EQUITY,6884,1,824B27,824GS2027,0.01
824K33,8.24% G-SEC. 10 NOV 33,NSE,824K33,EQUITY,7106,1,824K33,824GS2033,0.01
8KMILE,SECUREKLOUD TECHNOLOGIES LTD,BSE,8KMILE,EQUITY,512161,1,8KMILE,SECURKLOUD,42.24
8KMILE,SECUREKLOUD TECHNOLOGIES LTD,NSE,8KMILE,EQUITY,11058,1,8KMILE,SECURKLOUD,0.01
A1ACID,A 1 ACID LIMITED,BSE,A1ACID,EQUITY,542012,1,A1ACID,AAL,441.6
A1CHAM,AI CHAMPDANY INDUSTRIES LIMITE,BSE,A1CHAM,EQUITY,532806,1,A1CHAM,AICHAMP,31.14
A1CHAM,AI CHAMPDANY INDUSTRIES LIMITE,NSE,A1CHAM,EQUITY,14287,1,A1CHAM,AICHAMP,0.01
A2ZMAI,A2Z INFRA ENGINEERING LIMITED,BSE,A2ZMAI,EQUITY,533292,1,A2ZMAI,A2ZINFRA,7.68
A2ZMAI,A2Z INFRA ENGINEERING LIMITED,NSE,A2ZMAI,EQUITY,20910,1,A2ZMAI,A2ZINFRA,0.01
AAATEC,AAA TECHNOLOGIES LIMITED,BSE,AAATEC,EQUITY,543671,1,AAATEC,AAATECH,65.7
AAATEC,AAA TECHNOLOGIES LIMITED,NSE,AAATEC,EQUITY,557,1,AAATEC,AAATECH,0.01
AADIND,AADI INDUSTRIES LTD,BSE,AADIND,EQUITY,530027,1,AADIND,AADIIND,4.17
AADVEN,AADHAAR VENTURES INDIA LIMITED,BSE,AADVEN,EQUITY,531611,1,AADVEN,AADHAARVEN,0.49
AAGCAP,AAGAM CAPITAL LIMITED,BSE,AAGCAP,EQUITY,531866,1,AAGCAP,AAGAMCAP,48.82
AAKENG,AAKAR ENGINEERING &,BSE,AAKENG,EQUITY,522201,1,AAKENG,AAKARENG,1.08
AAKEXP,AAKASH EXPLORATION SERV LTD,NSE,AAKEXP,EQUITY,240,1,AAKEXP,AAKASH,0.01
AAMTOO,JAINEX AAMCOL LTD,BSE,AAMTOO,EQUITY,505212,1,AAMTOO,JAINEX,182.7
AANGRA,AANKIT GRANITES,BSE,AANGRA,EQUITY,523511,1,AANGRA,,7.35
AANISP,AANCHAL ISPAT LIMITED,BSE,AANISP,EQUITY,538812,1,AANISP,AANCHALISP,17.49
AANLAK,AANANDA LAKSHMI SPINNING MILLS,BSE,AANLAK,EQUITY,539096,1,AANLAK,AANANDALAK,8.45
AAPLUS,AA PLUS TRADELINK LTD,BSE,AAPLUS,EQUITY,543319,1,AAPLUS,AAPLUSTRAD,17.74
AARCOM,AAR COMMERCIAL COMPANY LTD,BSE,AARCOM,EQUITY,539632,1,AARCOM,AARCOM,6.32
AARDEN,AARVEE DENIMS AND EXPORTS LTD,BSE,AARDEN,EQUITY,514274,1,AARDEN,AARVEEDEN,24.58
AARDEN,AARVEE DENIMS AND EXPORTS LTD,NSE,AARDEN,EQUITY,13771,1,AARDEN,AARVEEDEN,0.01
AARDR,AAREY DRUGS & PHARMACEUTICALS,BSE,AARDR,EQUITY,524412,1,AARDR,AREYDRG,40.82
AARDR,AAREY DRUGS & PHARMACEUTICALS,NSE,AARDR,EQUITY,5245,1,AARDR,AAREYDRUGS,0.01
AARDRU,AARTI DRUGS LIMITED,BSE,AARDRU,EQUITY,524348,1,AARDRU,AARTIDRUGS,553.1
AARDRU,AARTI DRUGS LIMITED,NSE,AARDRU,EQUITY,4481,1,AARDRU,AARTIDRUGS,0.01
AARENC,AARVI ENCON LIMITED,NSE,AARENC,EQUITY,19073,1,AARENC,AARVI,0.01
AARGLO,AARYA GLOB. SHARES & SECU. LTD,BSE,AARGLO,EQUITY,531731,1,AARGLO,AARYAGLOBL,0.48
AARIN,AARON INDUSTRIES LIMITED,NSE,AARIN,EQUITY,1030,1,AARIN,AARON,0.01
AARIND,AARTI INDUSTRIES LTD,BSE,AARIND,EQUITY,524208,1,AARIND,AARTIIND,554.8
AARIND,AARTI INDUSTRIES LTD,NSE,AARIND,EQUITY,7,1,AARIND,AARTIIND,0.01
AARND1,AARTI SURFACTANTS 4PREF 19AG26,BSE,AARND1,EQUITY,700135,1,AARND1,AARTISURFP,159.76
AARND1,AARTI SURFACTANTS 4PREF 19AG26,NSE,AARND1,EQUITY,12121,1,AARND1,AARTISURF,0.01
AARPHA,AARTI PHARMALABS LIMITED,BSE,AARPHA,EQUITY,543748,1,AARPHA,AARTIPHARM,439.9
AARPHA,AARTI PHARMALABS LIMITED,NSE,AARPHA,EQUITY,13868,1,AARPHA,AARTIPHARM,0.01
AARPP1,AARTI SURFACTANTS LTD PP,BSE,AARPP1,EQUITY,890180,1,AARPP1,AARTIPP,366.0
AARPP1,AARTI SURFACTANTS LTD PP,NSE,AARPP1,EQUITY,14256,1,AARPP1,AARTIPP,0.01
AARRE1,AARTI SURFACTANTS LIMITED RE,BSE,AARRE1,EQUITY,750757,1,AARRE1,AARTI-RE,49.21
AARRE1,AARTI SURFACTANTS LIMITED RE,NSE,AARRE1,EQUITY,13824,1,AARRE1,AARTI-RE,0.01
AARSHY,AAR SHYAM INDIA INVESTMENT LTD,BSE,AARSHY,EQUITY,542377,1,AARSHY,AARSHYAM,5.96
AARSOL,AARTECH SOLONICS LTD,BSE,AARSOL,EQUITY,542580,1,AARSOL,AARTECH,116.5
AARSUR,AARTI SURFACTANTS LIMITED,BSE,AARSUR,EQUITY,543210,1,AARSUR,AARTISURF,736.0
AARSUR,AARTI SURFACTANTS LIMITED,NSE,AARSUR,EQUITY,19233,1,AARSUR,AARTISURF,0.01
AASHOS,AASHKA HOSPITALS LIMITED,BSE,AASHOS,EQUITY,543346,1,AASHOS,AASHKA,54.98
AASSEC,AASHEESH SECURITIES,BSE,AASSEC,EQUITY,531514,1,AASSEC,AASHEESH,0.76
AASTRA,AASWA TRADING & EXPORT LTD,BSE,AASTRA,EQUITY,512038,1,AASTRA,ASWTR,18.77
AATHEA,AATMAJ HEALTHCARE LIMITED,NSE,AATHEA,EQUITY,16972,1,AATHEA,AATMAJ,0.01
AAVFIN,AAVAS FINANCIERS LIMITED,BSE,AAVFIN,EQUITY,541988,1,AAVFIN,AAVAS,1840.9
AAVFIN,AAVAS FINANCIERS LIMITED,NSE,AAVFIN,EQUITY,5385,1,AAVFIN,AAVAS,0.01
AAYFOO,AAYUSH FOOD AND HERBS LTD,BSE,AAYFOO,EQUITY,539528,1,AAYFOO,AAYUSH,28.14
ABACOM,ABACUS COMPUTERS,BSE,ABACOM,EQUITY,508987,1,ABACOM,ABACUS,4.62
ABAHOL,ABANS HOLDINGS LIMITED,BSE,ABAHOL,EQUITY,543712,1,ABAHOL,AHL,327.65
ABAHOL,ABANS HOLDINGS LIMITED,NSE,ABAHOL,EQUITY,13288,1,ABAHOL,AHL,0.01
ABAND2,ABANS FINANCE PVT LTD SR 18,BSE,ABAND2,EQUITY,973252,1,ABAND2,AFPL17JUN21,1399287.6
ABAOFF,ABAN OFFSHORE LTD,BSE,ABAOFF,EQUITY,523204,1,ABAOFF,ABAN,48.24
ABAOFF,ABAN OFFSHORE LTD,NSE,ABAOFF,EQUITY,10,1,ABAOFF,ABAN,0.01
ABB,ABB INDIA LIMITED,BSE,ABB,EQUITY,500002,1,ABB,ABB,4849.65
ABB,ABB INDIA LIMITED,NSE,ABB,EQUITY,13,1,ABB,ABB,0.01
ABBIND,ABBOTT INDIA LIMITED,BSE,ABBIND,EQUITY,500488,1,ABBIND,ABBOTINDIA,25579.5
ABBIND,ABBOTT INDIA LIMITED,NSE,ABBIND,EQUITY,17903,1,ABBIND,ABBOTINDIA,0.01
ABBLAB,PHARMACIA HEALTHCARE LTD,BSE,ABBLAB,EQUITY,506817,1,ABBLAB,,0.0
ABBLAB,PHARMACIA HEALTHCARE LTD,NSE,ABBLAB,EQUITY,4483,1,ABBLAB,PHARMACIA,0.01
ABBPOW,HITACHI ENERGY INDIA LIMITED,BSE,ABBPOW,EQUITY,543187,1,ABBPOW,POWERINDIA,4956.05
ABBPOW,HITACHI ENERGY INDIA LIMITED,NSE,ABBPOW,EQUITY,18457,1,ABBPOW,POWERINDIA,0.01
ABCBEA,ABC BEARINGS LTD,BSE,ABCBEA,EQUITY,505665,1,ABCBEA,ABCBEARS,525.15
ABCBEA,ABC BEARINGS LTD,NSE,ABCBEA,EQUITY,151,1,ABCBEA,ANTFRIBEAR,0.01
ABCGAS,ABC GAS (INTERNATIONAL) LTD,BSE,ABCGAS,EQUITY,513119,1,ABCGAS,ABCGAS,41.83
ABCIND,ABC INDIA LTD,BSE,ABCIND,EQUITY,520123,1,ABCIND,ABCINDQ,111.14
ABCOT,AB COTSPIN INDIA LIMITED,NSE,ABCOT,EQUITY,7787,1,ABCOT,ABCOTS,0.01
ABEPRI,ABEE INFO-CONSUMABLES LIMITED,BSE,ABEPRI,EQUITY,530833,1,ABEPRI,ABEEINF,4.49
ABGSHI,ABG SHIPYARD LTD,BSE,ABGSHI,EQUITY,532682,1,ABGSHI,ABGSHIP,1.17
ABHCOR,ABHISHEK CORPORATION LIMITED,BSE,ABHCOR,EQUITY,532831,1,ABHCOR,ABHISHEK,0.59
ABHCOR,ABHISHEK CORPORATION LIMITED,NSE,ABHCOR,EQUITY,14433,1,ABHCOR,ABHISHEK,0.01
ABHFIN,ABHISHEK FINLEASE LIMITED,BSE,ABHFIN,EQUITY,538935,1,ABHFIN,ABHIFIN,25.04
ABHHOM,ABHINAV CAPITAL SERVICES LIMIT,BSE,ABHHOM,EQUITY,532057,1,ABHHOM,ABHICAP,119.98
ABHINF,ABHISHEK INFRAVENTURES LTD,BSE,ABHINF,EQUITY,539544,1,ABHINF,ABHIINFRA,4.55
ABHINT,ABHISHEK INTEGRATIONS LIMITED,NSE,ABHINT,EQUITY,4626,1,ABHINT,AILIMITED,0.01
ABHLEA,ABHINAV LEASING & FINANCE LTD,BSE,ABHLEA,EQUITY,538952,1,ABHLEA,ALFL,1.41
ABHTRA,ABHIJIT TRADING COMPANY LTD,BSE,ABHTRA,EQUITY,539560,1,ABHTRA,ABHIJIT,15.0
ABIFIN,ABIRAMI FINANCIAL SERVICES (IN,BSE,ABIFIN,EQUITY,511756,1,ABIFIN,ABIRAFN,37.02
ABINF,A B INFRABUILD LIMITED,NSE,ABINF,EQUITY,11022,1,ABINF,ABINFRA,0.01
ABLBIO,ABL BIO-TECHNOLOGIES LTD,BSE,ABLBIO,EQUITY,526955,1,ABLBIO,ABLBIO,0.85
ABMINT,ABM INTERNATIONAL LIMITED,NSE,ABMINT,EQUITY,5551,1,ABMINT,ABMINTLLTD,0.01
ABMKNO,ABM KNOWLEDGEWARE LTD,BSE,ABMKNO,EQUITY,531161,1,ABMKNO,ABMKNO,104.59
ABNPH,GENOMICS BIOTECH,BSE,ABNPH,EQUITY,524011,1,ABNPH,GENOMICS,1.7
ACC,ACC LIMITED,BSE,ACC,EQUITY,500410,1,ACC,ACC,2006.45
ACC,ACC LIMITED,NSE,ACC,EQUITY,22,1,ACC,ACC,0.01
ACCEXP,ACCURATE EXPORTS,BSE,ACCEXP,EQUITY,531905,1,ACCEXP,ACCUEXPO,0.12
ACCIND,ACCLAIM INDUSTRIES LIMITED,BSE,ACCIND,EQUITY,526347,1,ACCIND,ACCLAIM,0.66
ACCKAL,ACCELYA SOLUTIONS INDIA LTD,BSE,ACCKAL,EQUITY,532268,1,ACCKAL,ACCELYA,1606.2
ACCKAL,ACCELYA SOLUTIONS INDIA LTD,NSE,ACCKAL,EQUITY,7053,1,ACCKAL,ACCELYA,0.01
ACCOFS,ACCELYA SOLUTIONS INDIA OFS,BSE,ACCOFS,EQUITY,51172,1,ACCOFS,ACCELYA,0.0
ACCSHI,ACCURACY SHIPPING LIMITED,NSE,ACCSHI,EQUITY,1465,1,ACCSHI,ACCURACY,0.01
ACCSYN,ACCORD SYNERGY LIMITED,NSE,ACCSYN,EQUITY,21217,1,ACCSYN,ACCORD,0.01
ACCTEC,ACCENTIA TECHNOLOGIES LTD,BSE,ACCTEC,EQUITY,531897,1,ACCTEC,ACCENTECH,3.26
