Strategy,Symbol,Signal,Entry,SymSL,Qty,DervName,DervID,DervPx,EntryID,EntryPx,DervSL,ExitID,ExitPx,PnL,CreationTime,ExpirationTime,Active,Status
Straddle,NIFTY 50,buy,19679.3,0.0,50,OPT-NIFTY-05-Oct-2023-19700-PE,56953,75.0,test,85.15,0.0,test,0.0,-507.5000000000003,2023-09-29 13:34:52,NA,Y, 
Straddle,NIFTY 50,buy,19684.35,0.0,50,OPT-NIFTY-05-Oct-2023-19650-CE,56950,121.2,test,120.45,0.0,test,0.0,37.5,2023-09-29 13:36:38,NA,Y, 
