Date,Time,Symbol,SymbolCode,ExpiryDate,StrikePrice,CALL COI,PUT COI,PCR-COI
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,46300,-3171,0,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,46400,-279,-4,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,46500,1763,-376,-0.213
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,46600,-1853,0,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,46700,2499,0,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,46800,1635,0,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,46900,2217,0,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,47000,32168,-41,-0.001
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,47100,188,0,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,47200,461,0,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,47300,-47,0,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,47400,-364,0,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,47500,-2272,-13,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,47600,366,0,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,47700,1052,0,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,47800,176,0,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,47900,23,0,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,48000,-467,0,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,48100,1232,0,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,48200,-1099,0,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,48300,-414,0,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,48400,-514,0,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,48500,-425,-7,0.0
