CODE,EXPIRY,CALL OI,PUT OI,CALL Vol,PUT Vol,PCR,Timestamp
BANKNIFTY,2023-09-28,683954.0,690830.0,1938817,1842224,1.01,2023-09-18 20:05:07
FINNIFTY,2023-09-18,1572671.0,1407186.0,95212753,93443615,0.895,2023-09-18 20:05:07
FINNIFTY,2023-09-26,73096.0,54803.0,382944,351421,0.75,2023-09-18 20:05:07
NIFTY,2023-09-21,1853897.0,1636362.0,17866190,17368016,0.883,2023-09-18 20:05:07
NIFTY,2023-09-28,767035.0,1063859.0,1063954,1394891,1.387,2023-09-18 20:05:07
BANKNIFTY,2023-09-20,2490951.0,2556401.0,58881632,52777873,1.026,2023-09-16 18:39:50
BANKNIFTY,2023-09-28,559324.0,620410.0,1395604,1562928,1.109,2023-09-16 18:39:50
NIFTY,2023-09-21,1324110.0,1504056.0,19995120,20315909,1.136,2023-09-16 18:39:50
NIFTY,2023-09-28,719089.0,1058379.0,1204000,1661584,1.472,2023-09-16 18:39:50
BANKNIFTY,2023-09-20,2490951.0,2556401.0,58881632,52777873,1.026,2023-09-16 18:39:01
BANKNIFTY,2023-09-28,559324.0,620410.0,1395604,1562928,1.109,2023-09-16 18:39:01
NIFTY,2023-09-21,1324110.0,1504056.0,19995120,20315909,1.136,2023-09-16 18:39:01
NIFTY,2023-09-28,719089.0,1058379.0,1204000,1661584,1.472,2023-09-16 18:39:01
NIFTY,2023-09-21,1324110.0,1504056.0,19995120,20315909,1.136,2023-09-16 18:37:59
NIFTY,2023-09-28,719089.0,1058379.0,1204000,1661584,1.472,2023-09-16 18:37:59
BANKNIFTY,2023-09-20,2490951.0,2556401.0,58881632,52777873,1.026,2023-09-16 18:36:52
BANKNIFTY,2023-09-28,559324.0,620410.0,1395604,1562928,1.109,2023-09-16 18:36:52
NIFTY,2023-09-21,1324110.0,1504056.0,19995120,20315909,1.136,2023-09-16 18:36:52
NIFTY,2023-09-28,719089.0,1058379.0,1204000,1661584,1.472,2023-09-16 18:36:52
BANKNIFTY,2023-09-20,2490951.0,2556401.0,58881632,52777873,1.026,2023-09-16 18:32:39
BANKNIFTY,2023-09-28,559324.0,620410.0,1395604,1562928,1.109,2023-09-16 18:32:39
NIFTY,2023-09-21,1324110.0,1504056.0,19995120,20315909,1.136,2023-09-16 18:32:39
NIFTY,2023-09-28,719089.0,1058379.0,1204000,1661584,1.472,2023-09-16 18:32:39
NIFTY,2023-09-21,1324110.0,1504056.0,19995120,20315909,1.136,2023-09-16 18:31:07
NIFTY,2023-09-28,719089.0,1058379.0,1204000,1661584,1.472,2023-09-16 18:31:07
BANKNIFTY,2023-09-20,2490951.0,2556401.0,58881632,52777873,1.026,2023-09-16 18:20:55
BANKNIFTY,2023-09-28,559324.0,620410.0,1395604,1562928,1.109,2023-09-16 18:20:55
NIFTY,2023-09-21,1324110.0,1504056.0,19995120,20315909,1.136,2023-09-16 18:20:54
NIFTY,2023-09-28,719089.0,1058379.0,1204000,1661584,1.472,2023-09-16 18:20:54
BANKNIFTY,2023-09-20,2490951.0,2556401.0,58881632,52777873,1.026,2023-09-16 18:06:26
BANKNIFTY,2023-09-28,559324.0,620410.0,1395604,1562928,1.109,2023-09-16 18:06:26
NIFTY,2023-09-21,1324110.0,1504056.0,19995120,20315909,1.136,2023-09-16 18:06:26
NIFTY,2023-09-28,719089.0,1058379.0,1204000,1661584,1.472,2023-09-16 18:06:26
BANKNIFTY,2023-09-20,2490951.0,2556401.0,58881632,52777873,1.026,2023-09-16 17:54:32
BANKNIFTY,2023-09-28,559324.0,620410.0,1395604,1562928,1.109,2023-09-16 17:54:32
NIFTY,2023-09-21,1324110.0,1504056.0,19995120,20315909,1.136,2023-09-16 17:54:32
NIFTY,2023-09-28,719089.0,1058379.0,1204000,1661584,1.472,2023-09-16 17:54:32
BANKNIFTY,2023-09-20,2490951.0,2556401.0,58881632,52777873,1.026,2023-09-16 17:51:34
BANKNIFTY,2023-09-28,559324.0,620410.0,1395604,1562928,1.109,2023-09-16 17:51:34
NIFTY,2023-09-21,1324110.0,1504056.0,19995120,20315909,1.136,2023-09-16 17:51:33
NIFTY,2023-09-28,719089.0,1058379.0,1204000,1661584,1.472,2023-09-16 17:51:33
BANKNIFTY,2023-09-20,2490951.0,2556401.0,58881632,52777873,1.026,2023-09-16 17:45:00
BANKNIFTY,2023-09-28,559324.0,620410.0,1395604,1562928,1.109,2023-09-16 17:45:00
NIFTY,2023-09-21,1324110.0,1504056.0,19995120,20315909,1.136,2023-09-16 17:44:59
NIFTY,2023-09-28,719089.0,1058379.0,1204000,1661584,1.472,2023-09-16 17:44:59
BANKNIFTY,2023-09-20,2490951.0,2556401.0,58881632,52777873,1.026,2023-09-16 17:40:11
BANKNIFTY,2023-09-28,559324.0,620410.0,1395604,1562928,1.109,2023-09-16 17:40:11
NIFTY,2023-09-21,1324110.0,1504056.0,19995120,20315909,1.136,2023-09-16 17:40:09
NIFTY,2023-09-28,719089.0,1058379.0,1204000,1661584,1.472,2023-09-16 17:40:09
NIFTY,2023-09-21,1324110.0,1504056.0,19995120,20315909,1.136,2023-09-16 10:39:30
NIFTY,2023-09-28,719089.0,1058379.0,1204000,1661584,1.472,2023-09-16 10:39:30
BANKNIFTY,2023-09-20,2490951.0,2556401.0,58881632,52777873,1.026,2023-09-16 10:35:32
BANKNIFTY,2023-09-28,559324.0,620410.0,1395604,1562928,1.109,2023-09-16 10:35:32
NIFTY,2023-09-21,1324110.0,1504056.0,19995120,20315909,1.136,2023-09-16 10:35:32
NIFTY,2023-09-28,719089.0,1058379.0,1204000,1661584,1.472,2023-09-16 10:35:32
BANKNIFTY,2023-09-20,2490951.0,2556401.0,58881632,52777873,1.026,2023-09-16 10:34:47
BANKNIFTY,2023-09-28,559324.0,620410.0,1395604,1562928,1.109,2023-09-16 10:34:47
NIFTY,2023-09-21,1324110.0,1504056.0,19995120,20315909,1.136,2023-09-16 10:34:47
NIFTY,2023-09-28,719089.0,1058379.0,1204000,1661584,1.472,2023-09-16 10:34:47
BANKNIFTY,2023-09-20,2490951.0,2556401.0,58881632,52777873,1.026,2023-09-16 10:32:48
BANKNIFTY,2023-09-28,559324.0,620410.0,1395604,1562928,1.109,2023-09-16 10:32:48
